id,school,abbreviation,nickname,mascot,full_name,classification,conference_id,conference,conference_division,home_venue_id,home_venue,venue_capacity,grass,city,state,zip,country_code,location,elevation,timezone
2005,Air Force,AFA,Air Force,Falcons,Air Force Falcons,fbs,17,Mountain West,,3713.0,Falcon Stadium,46692.0,False,Colorado Springs,CO,80840,US,"(38.9969701,-104.8436165)",2024.875732,America/Denver
2006,Akron,AKR,Akron,Zips,Akron Zips,fbs,15,Mid-American,,3768.0,InfoCision Stadium,30000.0,False,Akron,OH,44399,US,"(41.0725534,-81.5083408)",321.2875061,America/New_York
333,Alabama,ALA,Alabama,Crimson Tide,Alabama Crimson Tide,fbs,8,SEC,,3657.0,Bryant-Denny Stadium,101821.0,True,Tuscaloosa,AL,35487,US,"(33.2082752,-87.5503836)",70.05136108,America/Chicago
2026,App State,APP,App State,Mountaineers,App State Mountaineers,fbs,37,Sun Belt,East,3792.0,Kidd Brewer Stadium,30000.0,False,Boone,NC,28608,US,"(36.2114267,-81.6854278)",991.3414307,America/New_York
12,Arizona,ARIZ,Arizona,Wildcats,Arizona Wildcats,fbs,4,Big 12,,3619.0,Arizona Stadium,50782.0,False,Tucson,AZ,85721,US,"(32.2288054,-110.9488677)",742.1530151,America/Phoenix
9,Arizona State,ASU,Arizona St,Sun Devils,Arizona State Sun Devils,fbs,4,Big 12,,3947.0,Mountain America Stadium,65870.0,True,Tempe,AZ,85287,US,"(33.4264471,-111.9325005)",360.1569519,America/Phoenix
8,Arkansas,ARK,Arkansas,Razorbacks,Arkansas Razorbacks,fbs,8,SEC,,3887.0,Razorback Stadium,80000.0,False,Fayetteville,AR,72702,US,"(36.0680662,-94.1789534)",403.7972412,America/Chicago
2032,Arkansas State,ARST,Arkansas St,Red Wolves,Arkansas State Red Wolves,fbs,37,Sun Belt,West,3625.0,Centennial Bank Stadium,30382.0,False,Jonesboro,AR,72404,US,"(35.8488977,-90.6677436)",89.52690887,America/Chicago
349,Army,ARMY,Army,Black Knights,Army Black Knights,fbs,151,American Athletic,,3841.0,Michie Stadium,38000.0,False,West Point,NY,10996,US,"(41.3874924,-73.9640891)",99.21277618,America/New_York
2,Auburn,AUB,Auburn,Tigers,Auburn Tigers,fbs,8,SEC,,3785.0,Jordan-Hare Stadium,87451.0,True,Auburn,AL,36849,US,"(32.6025532,-85.4897479)",201.1737976,America/Chicago
2050,Ball State,BALL,Ball State,Cardinals,Ball State Cardinals,fbs,15,Mid-American,,3919.0,Scheumann Stadium,22500.0,False,Muncie,IN,47306,US,"(40.2159422,-85.4161148)",285.481781,America/Indiana/Indianapolis
239,Baylor,BAY,Baylor,Bears,Baylor Bears,fbs,4,Big 12,,4727.0,McLane Stadium,45140.0,False,Waco,TX,76704,US,"(31.5582015,-97.1156702)",117.0538101,America/Chicago
68,Boise State,BOIS,Boise St,Broncos,Boise State Broncos,fbs,17,Mountain West,,3653.0,Albertsons Stadium,36387.0,False,Boise,ID,83725,US,"(43.6028839,-116.1958882)",823.2221069,America/Boise
103,Boston College,BC,Boston College,Eagles,Boston College Eagles,fbs,1,ACC,,3615.0,"Alumni Stadium (Chestnut Hill, MA)",44500.0,False,Chestnut Hill,MA,2467 ,US,"(42.335104,-71.1664413)",39.82634354,America/New_York
189,Bowling Green,BGSU,Bowling Green,Falcons,Bowling Green Falcons,fbs,15,Mid-American,,3700.0,Doyt L. Perry Stadium,24000.0,False,Bowling Green,OH,43403,US,"(41.3780114,-83.6225)",205.9057465,America/New_York
2084,Buffalo,BUF,Buffalo,Bulls,Buffalo Bulls,fbs,15,Mid-American,,3965.0,UB Stadium,30270.0,False,Amherst,NY,14260,US,"(42.9991334,-78.7775113)",181.5759735,America/New_York
252,BYU,BYU,BYU,Cougars,BYU Cougars,fbs,4,Big 12,,3801.0,LaVell Edwards Stadium,63470.0,True,Provo,UT,84602,US,"(40.2575347,-111.6545247)",1412.097046,America/Denver
25,California,CAL,California,Golden Bears,California Golden Bears,fbs,1,ACC,,3831.0,California Memorial Stadium,62467.0,False,Berkeley,CA,94720,US,"(37.8710434,-122.2507729)",125.3108063,America/Los_Angeles
2117,Central Michigan,CMU,C Michigan,Chippewas,Central Michigan Chippewas,fbs,15,Mid-American,,3786.0,Kelly/Shorts Stadium,30255.0,False,Mount Pleasant,MI,48859,US,"(43.5777313,-84.7709904)",240.9007721,America/Detroit
2429,Charlotte,CLT,Charlotte,49ers,Charlotte 49ers,fbs,151,American Athletic,,4418.0,Jerry Richardson Stadium,15300.0,False,Charlotte,NC,28223,US,"(35.3105033,-80.7401194)",190.365509,America/New_York
2132,Cincinnati,CIN,Cincinnati,Bearcats,Cincinnati Bearcats,fbs,4,Big 12,,3854.0,Nippert Stadium,40000.0,False,Cincinnati,OH,45221,US,"(39.1312495,-84.5161913)",230.0660553,America/New_York
228,Clemson,CLEM,Clemson,Tigers,Clemson Tigers,fbs,1,ACC,,3836.0,"Memorial Stadium (Clemson, SC)",81500.0,True,Clemson,SC,29634,US,"(34.6787737,-82.8432428)",205.6452179,America/New_York
324,Coastal Carolina,CCU,Coastal Car,Chanticleers,Coastal Carolina Chanticleers,fbs,37,Sun Belt,East,3654.0,Brooks Stadium (SC),21000.0,False,Conway,SC,29528,US,"(33.7928506,-79.0166946)",13.74894905,America/New_York
38,Colorado,COLO,Colorado,Buffaloes,Colorado Buffaloes,fbs,4,Big 12,,3726.0,Folsom Field,50183.0,True,Boulder,CO,80309,US,"(40.0094746,-105.266905)",1634.041138,America/Denver
36,Colorado State,CSU,Colorado St,Rams,Colorado State Rams,fbs,17,Mountain West,,5388.0,Canvas Stadium,36500.0,False,Fort Collins,CO,80521,US,"(40.570015,-105.088435)",1528.4,America/Denver
48,Delaware,DEL,Delaware,Fightin' Blue Hens,Delaware Fightin' Blue Hens,fbs,12,Conference USA,,3695.0,Delaware Stadium,22000.0,False,Newark,DE,19713,US,"(39.6617428,-75.7488224)",28.74350357,America/New_York
150,Duke,DUKE,Duke,Blue Devils,Duke Blue Devils,fbs,1,ACC,,3982.0,Wallace Wade Stadium,40004.0,True,Durham,NC,27708,US,"(35.9953688,-78.9417564)",103.0028152,America/New_York
151,East Carolina,ECU,East Carolina,Pirates,East Carolina Pirates,fbs,151,American Athletic,,3699.0,Dowdy-Ficklen Stadium,50000.0,True,Greenville,NC,27858,US,"(35.5968486,-77.364564)",19.0564537,America/New_York
2199,Eastern Michigan,EMU,E Michigan,Eagles,Eastern Michigan Eagles,fbs,15,Mid-American,,3912.0,Rynearson Stadium,30200.0,False,Ypsilanti,MI,48197,US,"(42.256126,-83.647285)",241.248764,America/Detroit
57,Florida,FLA,Florida,Gators,Florida Gators,fbs,8,SEC,,3634.0,Ben Hill Griffin Stadium,88548.0,True,Gainesville,FL,32653,US,"(29.6499357,-82.3485788)",44.97250748,America/New_York
2226,Florida Atlantic,FAU,FAU,Owls,Florida Atlantic Owls,fbs,151,American Athletic,,3715.0,FAU Stadium,29419.0,False,Boca Raton,FL,33499,US,"(26.3763763,-80.1015759)",3.613628864,America/New_York
2229,Florida International,FIU,FIU,Panthers,Florida International Panthers,fbs,12,Conference USA,,218.0,FIU Stadium,20000.0,False,Miami,FL,33199,US,"(25.7525014,-80.3778912)",1.718581796,America/New_York
52,Florida State,FSU,Florida St,Seminoles,Florida State Seminoles,fbs,1,ACC,,3697.0,Doak Campbell Stadium,79560.0,True,Tallahassee,FL,32306,US,"(30.4381692,-84.3044032)",19.55942535,America/New_York
278,Fresno State,FRES,Fresno St,Bulldogs,Fresno State Bulldogs,fbs,17,Mountain West,,3660.0,Valley Children's Stadium,41031.0,False,Fresno,CA,93740,US,"(36.8143527,-119.7580092)",102.564064,America/Los_Angeles
61,Georgia,UGA,Georgia,Bulldogs,Georgia Bulldogs,fbs,8,SEC,,3917.0,Sanford Stadium,92746.0,True,Athens,GA,30602,US,"(33.9498197,-83.3733813)",186.1120758,America/New_York
290,Georgia Southern,GASO,GA Southern,Eagles,Georgia Southern Eagles,fbs,37,Sun Belt,East,3608.0,Allen E. Paulson Stadium,25000.0,False,Statesboro,GA,30460,US,"(32.4122471,-81.7849296)",61.25376892,America/New_York
2247,Georgia State,GAST,Georgia St,Panthers,Georgia State Panthers,fbs,37,Sun Belt,East,4246.0,Center Parc Stadium,25000.0,False,Atlanta,GA,30315,US,"(33.735267,-84.389949)",287.0,America/New_York
